"","classcode","common_name","Kingdom","Phylum","Class","Order","Family","Genus","Species","species_definition","taxonomic_source","taxonomic_id"
"348","RSTE","Starry Skate","Animalia","Chordata","Elasmobranchii","Rajiformes","Rajidae","Raja","stellulata","Raja stellulata","WoRMS","271583"
"351","RTOX","Rubberlip Surfperch","Animalia","Chordata","Actinopterygii","Perciformes","Embiotocidae","Rhacochilus","toxotes","Rhacochilus toxotes","WoRMS","282575"
"355","RVAC","Pile Surfperch","Animalia","Chordata","Actinopterygii","Perciformes","Embiotocidae","Rhacochilus","vacca","Rhacochilus vacca","WoRMS","282576"
"359","SACA","Spiny Dogfish","Animalia","Chordata","Elasmobranchii","Squaliformes","Squalidae","Squalus","acanthias","Squalus acanthias","WoRMS","105923"
"362","SARG","California Barracuda","Animalia","Chordata","Actinopterygii","Perciformes","Sphyraenidae","Sphyraena","argentea","Sphyraena argentea","WoRMS","273978"
"366","SATR","Kelp Rockfish","Animalia","Chordata","Actinopterygii","Scorpaeniformes","Sebastidae","Sebastes","atrovirens","Sebastes atrovirens","WoRMS","274772"
"370","SAUR","Brown Rockfish","Animalia","Chordata","Actinopterygii","Scorpaeniformes","Sebastidae","Sebastes","auriculatus","Sebastes auriculatus","WoRMS","274773"
"374","SCAL","Pacific Angel Shark","Animalia","Chordata","Elasmobranchii","Squatiniformes","Squatinidae","Squatina","californica","Squatina californica","WoRMS","271667"
"378","SCAR","Gopher Rockfish","Animalia","Chordata","Actinopterygii","Scorpaeniformes","Sebastidae","Sebastes","carnatus","Sebastes carnatus","WoRMS","274779"
"382","SCARSCAU","Gopher, Copper Rockfish Young Of Year","Animalia","Chordata","Actinopterygii","Scorpaeniformes","Sebastidae","Sebastes","carnatus, caurinus","Sebastes carnatus/caurinus","WoRMS","274779/274780"
"384","SCAU","Copper Rockfish","Animalia","Chordata","Actinopterygii","Scorpaeniformes","Sebastidae","Sebastes","caurinus","Sebastes caurinus","WoRMS","274780"
"388","SCHI","Eastern Pacific Bonito","Animalia","Chordata","Actinopterygii","Perciformes","Scombridae","Sarda","chiliensis chiliensis","Sarda chiliensis chiliensis","WoRMS","273810"
"392","SCHR","Black And Yellow Rockfish","Animalia","Chordata","Actinopterygii","Scorpaeniformes","Sebastidae","Sebastes","chrysomelas","Sebastes chrysomelas","WoRMS","240737"
"396","SDAL","Calico Rockfish","Animalia","Chordata","Actinopterygii","Scorpaeniformes","Sebastidae","Sebastes","dallii","Sebastes dallii","WoRMS","274786"
"400","SDIP","Splitnose Rockfish","Animalia","Chordata","Actinopterygii","Scorpaeniformes","Sebastidae","Sebastes","diploproa","Sebastes diploproa","WoRMS","274787"
"403","SEBSPP","Rockfish, Unidentified Sp.","Animalia","Chordata","Actinopterygii","Scorpaeniformes","Sebastidae","Sebastes","spp","Sebastes","WoRMS","126175"
"406","SENT","Widow Rockfish","Animalia","Chordata","Actinopterygii","Scorpaeniformes","Sebastidae","Sebastes","entomelas","Sebastes entomelas","WoRMS","274791"
